,Race,Sex,Age,Occupation,Year,Male,B
1815,B,M,40,Contractor At Cement Walls,1920,1,1
1816,B,M,37,Band Leader At Orchestra,1920,1,1
1817,B,F,38,Flower Maker At Home,1920,0,1
1819,B,M,38,Plumber Help At Buildings,1920,1,1
1820,B,F,35,Laundress,1920,0,1
1822,B,F,24,Assorter At Paper Factory,1920,0,1
1823,B,M,38,Laborer,1920,1,1
1824,B,F,21,Waitress,1920,0,1
1825,B,M,50,Laborer,1920,1,1
1826,B,M,25,Laborer,1920,1,1
1828,B,M,23,Laborer,1920,1,1
1831,B,M,38,Assistant,1920,1,1
1832,B,F,35,Washwoman,1920,0,1
1834,B,M,30,Porter,1920,1,1
1840,B,M,38,Cook,1920,1,1
1841,B,F,26,Cook,1920,0,1
1842,B,F,22,Ironer At Laundry,1920,0,1
1843,B,M,24,Porter,1920,1,1
1845,B,M,19,Laborer,1920,1,1
1846,B,M,34,Driver,1920,1,1
1848,B,M,34,Laborer,1920,1,1
1854,B,M,29,Chauffeur,1920,1,1
1855,B,F,26,Waitress,1920,0,1
1856,B,F,57,Cleaner,1920,0,1
1858,B,M,30,Laborer,1920,1,1
1863,B,M,24,Laborer,1920,1,1
1864,B,F,28,Ironer At Laundry,1920,0,1
1865,B,M,24,Cleaner,1920,1,1
1866,B,F,20,Waitress,1920,0,1
1867,B,M,45,Farmer At Rent,1920,1,1
1868,B,M,25,Us Soldier At Infantry,1920,1,1
1869,B,M,54,Minister At Col. M.E. Church,1920,1,1
1870,B,F,51,Seamstress,1920,0,1
1871,B,M,26,Mechanic At Gasoline Engine,1920,1,1
1872,B,F,26,Cook,1920,0,1
1875,B,M,28,Clerk,1920,1,1
1876,B,M,28,Laborer,1920,1,1
1877,B,M,39,Porter,1920,1,1
1882,B,M,38,Laborer,1920,1,1
1883,B,M,27,Laborer,1920,1,1
1885,B,M,51,Laborer,1920,1,1
1887,B,M,27,Presser,1920,1,1
1888,B,F,24,Laundress,1920,0,1
1889,B,F,20,Manicurist At Private Home,1920,0,1
1890,B,M,36,Brakeman At Railway Company,1920,1,1
1893,B,M,21,Washer At Laundry,1920,1,1
1894,B,M,28,Plumber At Construction Company,1920,1,1
1895,B,M,25,Tank Filler Railway Shop,1920,1,1
1897,B,M,42,Laborer,1920,1,1
1899,B,F,37,Owner of Business,1920,0,1
1901,B,F,30,Cook,1920,0,1
1902,B,M,36,Chauffeur,1920,1,1
1903,B,M,23,Porter,1920,1,1
1904,B,M,23,Chauffeur,1920,1,1
1905,B,M,24,Cleaner,1920,1,1
1906,B,F,22,Waitress,1920,0,1
1907,B,M,24,Porter,1920,1,1
1908,B,M,33,Waitress,1920,1,1
