Latitude,Longitude,Street Address
-95.38045034,29.76036815,1302 Erichson Street
-95.38052331,29.76036833,1304 Erichson Street
-95.37578326,29.75936667,710 Hardcastle Street
-95.37585893,29.7593672,712 Hardcastle Street
-95.3759346,29.75936772,714 Hardcastle Street
-95.37578375,29.75931254,711 Hardcastle Street
-95.37570759,29.75936614,708 Hardcastle Street
-95.37593509,29.75931359,715 Hardcastle Street
-95.37601076,29.75931412,717 Hardcastle Street
-95.37608643,29.75931465,719 Hardcastle Street
-95.3761616,29.7593693,720 Hardcastle Street
-95.37636951,29.75936741,800 Hardcastle Street
-95.37645364,29.75936528,802 Hardcastle Street
-95.37662011,29.75930693,807 Hardcastle Street
-95.37670425,29.7593048,809 Hardcastle Street
-95.37708413,29.75856158,834 Arthur Street
-95.37679017,29.75935679,810 Hardcastle Street
-95.37678838,29.75930268,811 Hardcastle Street
-95.37678838,29.75930268,811 Hardcastle Street
-95.37687431,29.75935467,812 Hardcastle Street
-95.37695664,29.75929843,815 Hardcastle Street
-95.37726565,29.75936178,819 Hardcastle Street
-95.37737333,29.75931371,820 Hardcastle Street
-95.37726973,29.75930776,818 Hardcastle Street
-95.37716204,29.75935582,817 Hardcastle Street
-95.37736925,29.75936773,821 Hardcastle Street
-95.37747693,29.75931967,822 Hardcastle Street
-95.37955566,29.76173113,1203 High Street
-95.37757646,29.75937964,825 Hardcastle Street
-95.37921277,29.76172912,1119 High Street
-95.37962309,29.76178573,1204 High Street
-95.37962358,29.7617316,1205 High Street
-95.3797594,29.76173252,1209 High Street
-95.37982684,29.76178711,1210 High Street
-95.37996266,29.76178803,1214 High Street
-95.37982732,29.76173298,1211 High Street
-95.37996315,29.7617339,1215 High Street
-95.38003058,29.76178849,1216 High Street
-95.37552955,29.7585467,705 Hobson Street
-95.37576765,29.75860246,710 Hobson Street
-95.37568861,29.75854779,709 Hobson Street
-95.37592671,29.75860355,714 Hobson Street
-103.5180302,-6.145757596,620 Hobson Street
-95.37584718,29.75860301,712 Hobson Street
-95.37600623,29.7586041,716 Hobson Street
-95.37608576,29.75860464,718 Hobson Street
-95.37656421,29.75829542,809 Hobson Street
-95.37661209,29.75829543,811 Hobson Street
-95.37665997,29.75829543,813 Hobson Street
-95.37665996,29.75834956,812 Hobson Street
-95.37670785,29.75829543,815 Hobson Street
-95.37675572,29.75834957,816 Hobson Street
-95.37675573,29.75829544,817 Hobson Street
-95.37670784,29.75834957,814 Hobson Street
-95.37685149,29.75834958,820 Hobson Street
-95.3768036,29.75834958,818 Hobson Street
-95.37689937,29.75834959,822 Hobson Street
-95.37719695,29.75829634,903 Hobson Street
-95.37728231,29.75829686,907 Hobson Street
-95.37736768,29.75829737,911 Hobson Street
-95.37778601,29.75871652,801 Howard Street
-95.37781119,29.7587161,811 Howard Street
-95.37740993,29.75835176,912 Hobson Street
-95.3778263,29.75871585,817 Howard Street
-95.37783637,29.75871568,821 Howard Street
-95.37781623,29.75871602,813 Howard Street
-95.3782953,29.75876215,1020 Howard Street
-95.37869608,29.75875316,1104 Howard Street
-95.37862463,29.75875502,1102 Howard Street
-95.37876753,29.7587513,1106 Howard Street
-95.37883897,29.75874944,1108 Howard Street
-95.37876568,29.75869719,1107 Howard Street
-95.37883713,29.75869533,1109 Howard Street
-95.37890857,29.75869347,1111 Howard Street
-95.37891042,29.75874758,1110 Howard Street
-95.37898187,29.75874572,1112 Howard Street
-95.37905332,29.75874386,1114 Howard Street
-95.37898002,29.75869161,1113 Howard Street
-95.37912292,29.7586879,1117 Howard Street
-95.37919437,29.75868604,1119 Howard Street
-95.37947363,29.75868184,1201 Howard Street
-95.37919622,29.75874015,1118 Howard Street
-95.37968414,29.75868257,1207 Howard Street
-95.37975431,29.75868282,1209 Howard Street
-95.37954355,29.75873622,1202 Howard Street
-95.37982448,29.75868306,1211 Howard Street
-95.37996482,29.75868355,1215 Howard Street
-95.37996457,29.75873769,1214 Howard Street
-95.38010491,29.75873818,1218 Howard Street
-95.38051145,29.75874064,1304 Howard Street
-95.38044659,29.75874012,1302 Howard Street
-95.38057631,29.75874115,1306 Howard Street
-95.38064117,29.75874167,1308 Howard Street
-95.38070603,29.75874219,1310 Howard Street
-95.38057688,29.75868702,1307 Howard Street
-95.3807709,29.7587427,1312 Howard Street
